arm,capture,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
independent + isotonic,10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.29422714319592136,1.9186428679063374,0.7296662098795901,0.031847635837117264,0.12095792045522404
independent + isotonic,10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.3709790318731868,1.7489011502593093,0.71963011735739,0.05301356135338865,0.15964414069629387
independent + isotonic,10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.4708373387734764,1.5080642997773992,0.6946639637163277,0.08303535408288194,0.20374599652274233
independent + isotonic,12 Sept (urban loop),0.5,1131,0.042440318302387266,0.12651764066272814,2.9810719081155317,0.8016505078485688,0.014968848958355534,0.03934694140466649
independent + isotonic,12 Sept (urban loop),1.0,1131,0.07957559681697612,0.21927205695172827,2.7555188490267186,0.7733002454904472,0.019497127605097853,0.06743977041453322
independent + isotonic,12 Sept (urban loop),2.0,1131,0.14588859416445624,0.3318665507511851,2.274794356967214,0.7534255599472991,0.01965467767273721,0.11110723978054024
independent + isotonic,12 Sept (urban loop),3.0,1131,0.19982316534040673,0.38671874097789893,1.9353048497610783,0.7382633354520118,0.0435185432872811,0.1437917832536242
independent + isotonic,12 Sept (urban loop),5.0,1131,0.28470380194518125,0.5082584866570983,1.785218473320429,0.73809203909435,0.0601887431434281,0.17908773007463535
independent + isotonic,13 Sept (dense urban),0.5,3072,0.036783854166666664,0.09684711004727192,2.6328701067718527,0.7635307910170561,0.008838837675910765,0.03434213463857933
independent + isotonic,13 Sept (dense urban),1.0,3072,0.06477864583333333,0.17131576712692648,2.6446333498186845,0.7581345642238342,0.012527204188038668,0.057291958658225416
independent + isotonic,13 Sept (dense urban),2.0,3072,0.12076822916666667,0.2719456560592254,2.2517979930294887,0.7408137746726531,0.02141079412847822,0.09782139724612467
independent + isotonic,13 Sept (dense urban),3.0,3072,0.1708984375,0.36147175325539954,2.1151261447630234,0.7382208761007347,0.03489285273373321,0.12801450967702385
independent + isotonic,13 Sept (dense urban),5.0,3072,0.2548828125,0.4670401324528145,1.8323720139144906,0.7221965566898604,0.05792772252049153,0.1702364855343034
independent + isotonic,15 Sept (highway),0.5,2205,0.022222222222222223,0.04063257266541152,1.8284657699435185,0.7172958237098179,0.03484339846740283,0.023907306549259096
independent + isotonic,15 Sept (highway),1.0,2205,0.050793650793650794,0.11184559026418842,2.2019600583262093,0.7331026892362297,0.04406801645390259,0.0512420020582799
independent + isotonic,15 Sept (highway),2.0,2205,0.09523809523809523,0.20281886268146326,2.129598058155364,0.7345518558300513,0.07850050889233894,0.09073144311687967
independent + isotonic,15 Sept (highway),3.0,2205,0.1360544217687075,0.27197452014504403,1.9990127230660735,0.7258048993875765,0.10036112081733711,0.12127304080744886
independent + isotonic,15 Sept (highway),5.0,2205,0.20770975056689342,0.3942722113312232,1.8981882663435528,0.7154335692128491,0.1562873653318249,0.17796197725562732
independent + isotonic + PAV,10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.11442578298050655,2.286416103959113,0.7325747934782126,0.011605287969806005,0.0462588545620943
independent + isotonic + PAV,10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.18334613045107517,2.1941091874859437,0.7472403598405603,0.026748737042265193,0.07358730042348469
