variant,seed,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
history only,2,1.0,8586,0.06790123456790123,0.0894213847629077,1.3169331210537316,0.5875507876656031,0.03836381415528371,0.06651521498206218
history only,2,2.0,8586,0.12578616352201258,0.16068977619878824,1.2774837207803664,0.5876704808992312,0.06796794357489434,0.11963515114962119
history only,2,3.0,8586,0.1762170976007454,0.22492214112679665,1.27639226947434,0.587616172351987,0.09571296642495977,0.16156697017071764
history only,2,5.0,8586,0.2612392266480317,0.32865669225084043,1.2580679267346035,0.5901511237265635,0.12503426572224033,0.21731926988227177
signalling only,0,0.5,8586,0.03715350570696482,0.07669020187691519,2.0641444304551535,0.7091732320936093,0.014497971767311345,0.035875364674994074
signalling only,0,1.0,8586,0.06790123456790123,0.12296037730590231,1.8108710112323796,0.7014614373812222,0.025054168581938013,0.06439599184367303
signalling only,0,2.0,8586,0.12578616352201258,0.20450431635543034,1.6258093150256712,0.6829634440595672,0.041828800177253656,0.1116317783851661
signalling only,0,3.0,8586,0.1762170976007454,0.2699110934500566,1.5316963968025024,0.6738158075602659,0.05915380134174146,0.14732705861469492
signalling only,0,5.0,8586,0.2612392266480317,0.3675678448235047,1.4070162798281816,0.6590131443320889,0.07453719025948674,0.19418081782360272
signalling only,1,0.5,8586,0.03715350570696482,0.08094954138319568,2.1787860887652606,0.7080371670724673,0.014385553788636866,0.03574378462078205
signalling only,1,1.0,8586,0.06790123456790123,0.12323615974936791,1.8149325344906913,0.6997659968420934,0.026244305418546797,0.06407716721096166
signalling only,1,2.0,8586,0.12578616352201258,0.20789540864188868,1.6527684987030151,0.6841910422279461,0.04333223651091981,0.11073392567527794
signalling only,1,3.0,8586,0.1762170976007454,0.2730798025203106,1.549678244837665,0.6745526703907108,0.05705186319445939,0.14611495206913688
signalling only,1,5.0,8586,0.2612392266480317,0.37113014090422713,1.4206524252357084,0.6598863569031729,0.0723281181985552,0.19300967388885837
signalling only,2,0.5,8586,0.03715350570696482,0.07595627197271454,2.044390442500712,0.7075542635996956,0.014775286519850068,0.0359680450253714
signalling only,2,1.0,8586,0.06790123456790123,0.12150440232056865,1.789428470539284,0.6997145581556145,0.026613245689627658,0.06457691678877252
signalling only,2,2.0,8586,0.12578616352201258,0.20552740457538732,1.6339428663743292,0.685332474760932,0.04366956901496588,0.11154813982796989
signalling only,2,3.0,8586,0.1762170976007454,0.27115033269560773,1.5387288542792388,0.6746024300073757,0.0566544895343101,0.14705045874337408
signalling only,2,5.0,8586,0.2612392266480317,0.36849674205501,1.4105720139475326,0.6599739698520082,0.07573961909051424,0.19389787827095806
rf+mobility+history+signalling,0,0.5,8586,0.03715350570696482,0.09144723048913372,2.46133517548496,0.7573845174359058,0.02179566613119,0.03577567728565526
rf+mobility+history+signalling,0,1.0,8586,0.06790123456790123,0.1653101937425598,2.434568307844972,0.7632669481363014,0.03664694290560597,0.06260298846508208
rf+mobility+history+signalling,0,2.0,8586,0.12578616352201258,0.2660833391180759,2.1153625459887033,0.7483273874727379,0.05457018545968112,0.10803621395354472
rf+mobility+history+signalling,0,3.0,8586,0.1762170976007454,0.3394564707066952,1.9263537722985362,0.7358316616749752,0.08004402444356289,0.14391143926199018
rf+mobility+history+signalling,0,5.0,8586,0.2612392266480317,0.44582586319517087,1.7065808566178053,0.7245188123240669,0.10818542718564952,0.19128168209049984
rf+mobility+history+signalling,1,0.5,8586,0.03715350570696482,0.09207002452868022,2.4780979015775815,0.7586938740841045,0.020968475565743896,0.035574282382518696
rf+mobility+history+signalling,1,1.0,8586,0.06790123456790123,0.1689440877315961,2.4880856556835065,0.7637106068071814,0.03235371044785948,0.061888507298611
rf+mobility+history+signalling,1,2.0,8586,0.12578616352201258,0.26803901124013735,2.130910139359092,0.7462430055955236,0.05760696518575026,0.10748036279034984
rf+mobility+history+signalling,1,3.0,8586,0.1762170976007454,0.3396350359450544,1.9273670975705468,0.7363656080592451,0.07547570491533381,0.143999786759174
rf+mobility+history+signalling,1,5.0,8586,0.2612392266480317,0.4439635330870757,1.6994520263422346,0.7231111713081616,0.11075040960654736,0.19332511909378403
