learner,stratum,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
Transformer,quiet (no handover in previous 10 s),5.0,5518,0.19300471185212034,0.3447806576789467,1.786384665795707,0.6939965566284901,0.05729521088184216,0.1481430777416823
Transformer,in burst (handover 2-10 s earlier),0.5,3068,0.06681877444589308,0.11929053250262076,1.7852846522831245,0.6673913599073118,0.022008462943806956,0.06155176762556263
Transformer,in burst (handover 2-10 s earlier),1.0,3068,0.11245110821382008,0.19363232550369944,1.7219245641894199,0.6795078957032685,0.03772475493052689,0.09723375382145075
Transformer,in burst (handover 2-10 s earlier),2.0,3068,0.2014341590612777,0.31713939982803485,1.5744072470427362,0.6710838121656431,0.047766917681030883,0.15447274057239302
Transformer,in burst (handover 2-10 s earlier),3.0,3068,0.273142112125163,0.4135000011033073,1.5138639658531585,0.673066344167728,0.05401187707734388,0.18774834495855353
Transformer,in burst (handover 2-10 s earlier),5.0,3068,0.38396349413298564,0.5365733576864072,1.3974593050780115,0.6668472255908587,0.06417687618048593,0.22234390447604716
Dwell time only (LightGBM),quiet (no handover in previous 10 s),0.5,5518,0.020659659296846683,0.026466906206953675,1.281091126754126,0.5290290168426247,0.010173058859958497,0.02031964544246036
Dwell time only (LightGBM),quiet (no handover in previous 10 s),1.0,5518,0.04313156940920623,0.05706086475957025,1.3229489569046582,0.549841243315508,0.015507402261968896,0.04138170563720646
Dwell time only (LightGBM),quiet (no handover in previous 10 s),2.0,5518,0.08372598767669445,0.10848842853932265,1.295755733073555,0.5551143213326757,0.025901659726999145,0.0769304018211157
Dwell time only (LightGBM),quiet (no handover in previous 10 s),3.0,5518,0.12232693004711852,0.15325597974485494,1.2528392536771995,0.556488708406941,0.03687002321597097,0.10788338345892454
Dwell time only (LightGBM),quiet (no handover in previous 10 s),5.0,5518,0.19300471185212034,0.24074256866772886,1.2473403698671623,0.5633798599667471,0.04209733382098005,0.1561631986216609
Dwell time only (LightGBM),in burst (handover 2-10 s earlier),0.5,3068,0.06681877444589308,0.0713985083373866,1.0685396272151324,0.5248664627757,0.017505201059521375,0.06270228192748677
