horizon_s,alpha,test,calib,n_calib_units,floor_1_over_n_plus_1,feasible,threshold,alarm_rate,realised_miss_rate_rows,mean_unit_loss,units_with_loss_le_alpha,n_events_test,feasible_events,threshold_events,alarm_rate_events,realised_miss_rate_events,mean_unit_loss_events,unresolvable_event_share,unresolvable_event_share_calib
3.0,0.3,12 Sept (urban loop),13 Sept (dense urban),20,0.047619047619047616,True,0.028,0.5994694960212201,0.16371681415929204,0.1744393971038708,0.875,174,True,0.035,0.5596816976127321,0.26436781609195403,0.26177657626018924,0.16666666666666666,0.10101010101010101
1.0,0.05,12 Sept (urban loop),15 Sept (highway),14,0.06666666666666667,False,-inf,1.0,0.0,0.0,1.0,174,False,-inf,,,,0.46551724137931033,0.3446327683615819
1.0,0.1,12 Sept (urban loop),15 Sept (highway),14,0.06666666666666667,True,0.01,0.6339522546419099,0.05555555555555555,0.06388888888888888,0.75,174,False,-inf,,,,0.46551724137931033,0.3446327683615819
1.0,0.15,12 Sept (urban loop),15 Sept (highway),14,0.06666666666666667,True,0.017,0.5464190981432361,0.07777777777777778,0.09027777777777778,0.75,174,False,-inf,,,,0.46551724137931033,0.3446327683615819
1.0,0.2,12 Sept (urban loop),15 Sept (highway),14,0.06666666666666667,True,0.021,0.5092838196286472,0.07777777777777778,0.09027777777777778,0.75,174,False,-inf,,,,0.46551724137931033,0.3446327683615819
1.0,0.3,12 Sept (urban loop),15 Sept (highway),14,0.06666666666666667,True,0.047,0.35190097259062775,0.2111111111111111,0.23373015873015873,0.75,174,False,-inf,,,,0.46551724137931033,0.3446327683615819
3.0,0.05,12 Sept (urban loop),15 Sept (highway),14,0.06666666666666667,False,-inf,1.0,0.0,0.0,1.0,174,False,-inf,,,,0.16666666666666666,0.0903954802259887
3.0,0.1,12 Sept (urban loop),15 Sept (highway),14,0.06666666666666667,True,0.018000000000000002,0.7939876215738285,0.008849557522123894,0.008928571428571428,1.0,174,False,-inf,,,,0.16666666666666666,0.0903954802259887
3.0,0.15,12 Sept (urban loop),15 Sept (highway),14,0.06666666666666667,True,0.058,0.6109637488947833,0.10176991150442478,0.10941624895572263,0.625,174,True,0.02,0.7789566755083996,0.16666666666666666,0.14059327347880682,0.16666666666666666,0.0903954802259887
3.0,0.2,12 Sept (urban loop),15 Sept (highway),14,0.06666666666666667,True,0.105,0.5048629531388152,0.19469026548672566,0.2078089320523531,0.625,174,True,0.057,0.614500442086649,0.20114942528735633,0.18909528297825878,0.16666666666666666,0.0903954802259887
