arm,learner,columns_lagged,seed,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
assignment,LightGBM,92,0,2.0,8586,0.12578616352201258,0.2531118808474049,2.012239452736869,0.7329568444010224,0.05675317069105945,0.10911479849975604
assignment,LightGBM,92,0,3.0,8586,0.1762170976007454,0.3298687832852892,1.8719453888218724,0.7246065462723786,0.07746057467865403,0.14448368856080274
assignment,LightGBM,92,0,5.0,8586,0.2612392266480317,0.4329971986372322,1.657473895452196,0.7120173969163194,0.11544073709474127,0.19444369143239107
assignment,LightGBM,92,1,0.5,8586,0.03715350570696482,0.0899906900732654,2.422131865106761,0.7448688425067298,0.020514430581899327,0.0357841031992803
assignment,LightGBM,92,1,1.0,8586,0.06790123456790123,0.16168168006374967,2.3811301973024954,0.7492889137413951,0.032945862110551366,0.06245320951478512
assignment,LightGBM,92,1,2.0,8586,0.12578616352201258,0.2622785334344272,2.0851143408036963,0.7391823578174497,0.05389232611593489,0.10734770736638514
assignment,LightGBM,92,1,3.0,8586,0.1762170976007454,0.33809926526364675,1.918651878092314,0.7292839502388884,0.07164134392814328,0.14201920401391555
assignment,LightGBM,92,1,5.0,8586,0.2612392266480317,0.44555700005897625,1.7055516729854525,0.7187709389851897,0.1097780350898023,0.1903360422328459
assignment,LightGBM,92,2,0.5,8586,0.03715350570696482,0.08728839026064412,2.3493984914667414,0.7438105122417074,0.022399474425984556,0.035690200094732526
assignment,LightGBM,92,2,1.0,8586,0.06790123456790123,0.15726267175927014,2.3160502568183423,0.7496249798263903,0.03313505325924003,0.06249642194915815
assignment,LightGBM,92,2,2.0,8586,0.12578616352201258,0.2548005149257461,2.0256640936596817,0.7366546269157513,0.055008962371332494,0.10837825458465429
assignment,LightGBM,92,2,3.0,8586,0.1762170976007454,0.3286422969116233,1.8649853015751472,0.7258658149938387,0.07966361648767686,0.1444714292944552
assignment,LightGBM,92,2,5.0,8586,0.2612392266480317,0.4373268981505019,1.6740475914044626,0.717128187408631,0.11268127984488584,0.1936852153969948
assignment,Event A3 rule (deployed parameters),92,0,0.5,8586,0.03715350570696482,0.06752526401446068,1.8174668239127256,0.6941907110379183,0.35824733934257674,0.32400530620994816
assignment,Event A3 rule (deployed parameters),92,0,1.0,8586,0.06790123456790123,0.11634776147249895,1.7134852144131665,0.6887807295248844,0.34384558947388183,0.3162006476154253
assignment,Event A3 rule (deployed parameters),92,0,2.0,8586,0.12578616352201258,0.20384406432276894,1.6205603113660132,0.6824927095360749,0.3229976975568075,0.3058988866336251
assignment,Event A3 rule (deployed parameters),92,0,3.0,8586,0.1762170976007454,0.2720311856264344,1.543727534559528,0.6752142630404537,0.30890498849554504,0.30184846936193943
assignment,Event A3 rule (deployed parameters),92,0,5.0,8586,0.2612392266480317,0.37433207645352806,1.4329091433036076,0.6659662316570711,0.2923664373657989,0.3036042252176912
all,LightGBM,109,0,0.5,8586,0.03715350570696482,0.08647456463127275,2.3274940812667957,0.7445624538094392,0.020506637410583183,0.03593332344161437
all,LightGBM,109,0,1.0,8586,0.06790123456790123,0.15825286488044005,2.3306331009664807,0.7475618598428677,0.03232754096810677,0.06278302800785376
all,LightGBM,109,0,2.0,8586,0.12578616352201258,0.25693227189435425,2.042611561560116,0.7368787685900662,0.05361301604187296,0.10936098573966833
all,LightGBM,109,0,3.0,8586,0.1762170976007454,0.33367032784737766,1.8935184632502213,0.7297704264160862,0.07611517472317404,0.14506017282477388
all,LightGBM,109,0,5.0,8586,0.2612392266480317,0.44260475730936794,1.6942507562453113,0.7200285871949863,0.11156914648216708,0.19333093323530443
all,LightGBM,109,1,0.5,8586,0.03715350570696482,0.0866741497783282,2.3328659874505515,0.7475178913177103,0.021669160824386906,0.0357998731690304
all,LightGBM,109,1,1.0,8586,0.06790123456790123,0.16135137434232116,2.3762656948596392,0.7545262293363831,0.03352080793229137,0.062380335655333484
all,LightGBM,109,1,2.0,8586,0.12578616352201258,0.2669416111130697,2.122185808348904,0.7418183354550928,0.05236135839701404,0.10695141642404322
