learner,held_out_capture,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
GRU,13 Sept (dense urban),0.5,3072,0.036783854166666664,0.08902008731171172,2.4200859134652957,0.7688557782317034,0.016997918208491884,0.034953922523121794
GRU,13 Sept (dense urban),1.0,3072,0.06477864583333333,0.14878354179404515,2.296799197946265,0.750809389796179,0.022101166147169553,0.05889923571009995
GRU,13 Sept (dense urban),2.0,3072,0.12076822916666667,0.2633377589295131,2.1805218205699846,0.7489110053080071,0.03192751587549638,0.0996685295166397
GRU,13 Sept (dense urban),3.0,3072,0.1708984375,0.34732239851889196,2.032332206190545,0.7474616261895415,0.045501411129306585,0.1300529768752521
GRU,13 Sept (dense urban),5.0,3072,0.2548828125,0.4551563614652085,1.7857475637562203,0.7354714953576075,0.06565626647271632,0.17193215459095987
GRU,15 Sept (highway),0.5,2205,0.022222222222222223,0.04249550005386968,1.9122975024241355,0.7149483169891333,0.03864254738828583,0.02449819348729679
GRU,15 Sept (highway),1.0,2205,0.050793650793650794,0.09620763675534741,1.894087848620902,0.7083688826701249,0.06514296945260495,0.05516425167399633
GRU,15 Sept (highway),2.0,2205,0.09523809523809523,0.17419310567823207,1.8290276096214368,0.7061678004535147,0.09737268875515649,0.09904533839022418
GRU,15 Sept (highway),3.0,2205,0.1360544217687075,0.24329696050661556,1.7882326597236242,0.7141382327209099,0.12255078066683861,0.13371174061607402
GRU,15 Sept (highway),5.0,2205,0.20770975056689342,0.34066073833976945,1.640080628906532,0.715046130234488,0.15169706640149822,0.18158784446496626
TCN,10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.12274588108463423,2.4526654036911317,0.7420772344925749,0.016847008242313742,0.04635120712149339
TCN,10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.1837293222866107,2.1986948568144955,0.7439356735448921,0.03333421998845716,0.07493700827115718
TCN,10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.31762585449834624,2.0712248835251437,0.7444113941314767,0.04450820054816732,0.12057432261458687
TCN,10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.4108635921749081,1.936928363110281,0.742319549137731,0.057867520960018765,0.15167003270579413
TCN,10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.5397098501540093,1.7286589024050474,0.7458905992303464,0.06475191096993882,0.18520264185697533
TCN,12 Sept (urban loop),0.5,1131,0.042440318302387266,0.12853291575708445,3.0285568275263026,0.7890120036934442,0.018570058471574006,0.03936184467582914
TCN,12 Sept (urban loop),1.0,1131,0.07957559681697612,0.19563614802682266,2.458494260203738,0.7737325221475078,0.027159078719164106,0.06987917415209421
TCN,12 Sept (urban loop),2.0,1131,0.14588859416445624,0.33034555620826106,2.2643686307366258,0.7650668172407303,0.04533573251679836,0.11348535911532368
TCN,12 Sept (urban loop),3.0,1131,0.19982316534040673,0.40841100062260555,2.043862131434367,0.752715982985381,0.06759002334840383,0.14514671442736662
TCN,12 Sept (urban loop),5.0,1131,0.28470380194518125,0.5276762738283194,1.8534219431671717,0.7499404985834823,0.07762922426960722,0.1786712660446494
TCN,13 Sept (dense urban),0.5,3072,0.036783854166666664,0.11258315933894222,3.0606678361878807,0.7770772833443492,0.011062339219885569,0.0342418139396423
TCN,13 Sept (dense urban),1.0,3072,0.06477864583333333,0.17698933204942216,2.7322172264111804,0.757172566627079,0.018765886501771294,0.05785318514966097
TCN,13 Sept (dense urban),2.0,3072,0.12076822916666667,0.27825326633175246,2.3040270462834056,0.7511244213234392,0.032068313914351165,0.09826856987977454
TCN,13 Sept (dense urban),3.0,3072,0.1708984375,0.3632770827352308,2.1256899012621506,0.748225176211042,0.042519485105812126,0.12770148298971296
TCN,13 Sept (dense urban),5.0,3072,0.2548828125,0.45622606921924946,1.7899444248295457,0.732490945925513,0.05437451243374703,0.16947681966246797
TCN,15 Sept (highway),0.5,2205,0.022222222222222223,0.04817930390457039,2.1680686757056673,0.7336810419900799,0.01241125383795164,0.02186283198734937
TCN,15 Sept (highway),1.0,2205,0.050793650793650794,0.10762099241518847,2.1187882881740228,0.7288154392191659,0.022045672831892155,0.047625298855714385
TCN,15 Sept (highway),2.0,2205,0.09523809523809523,0.18104321473174081,1.9009537546832787,0.7177515216612961,0.029702200622875763,0.08392681625857959
TCN,15 Sept (highway),3.0,2205,0.1360544217687075,0.25919008897065365,1.9050471539343041,0.7203482064741907,0.037052044747728156,0.11164086792654537
TCN,15 Sept (highway),5.0,2205,0.20770975056689342,0.37963320746804563,1.827710092722796,0.7224099704296574,0.038675239495229115,0.1504410874917729
Transformer,10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.10640670270168448,2.126181637470356,0.726397985110034,0.02330795159426019,0.047380158430181715
Transformer,10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.17649088009769037,2.1120721805097236,0.722257702217622,0.03913441016690826,0.07482178148277793
Transformer,10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.3012036480553127,1.9641363636660807,0.7250103913647759,0.056924269009264075,0.12250383995387344
Transformer,10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.39364520546454324,1.855755968618561,0.7254689754689754,0.06064110330240713,0.15405639720176087
Transformer,10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.5197767081410487,1.6648142210752999,0.7265491243226263,0.0826607304846142,0.19427290036075454
Transformer,12 Sept (urban loop),0.5,1131,0.042440318302387266,0.10459797420060796,2.4645897671018253,0.7922437673130194,0.026195500036133378,0.0396283081521932
Transformer,12 Sept (urban loop),1.0,1131,0.07957559681697612,0.17157823645886564,2.1561665048330783,0.7600811185825596,0.03884842124900176,0.07032496393050991
Transformer,12 Sept (urban loop),2.0,1131,0.14588859416445624,0.2856925741051313,1.9582927352297184,0.7502854633289416,0.045003973380183526,0.11552778398665009
Transformer,12 Sept (urban loop),3.0,1131,0.19982316534040673,0.3706826086412754,1.8550532317401878,0.7460176991150442,0.05514633732842655,0.14472683513327914
Transformer,12 Sept (urban loop),5.0,1131,0.28470380194518125,0.5063993896695087,1.778688539491349,0.7463550583881642,0.056657841168355,0.17609148034741634
Transformer,13 Sept (dense urban),0.5,3072,0.036783854166666664,0.10994998845738595,2.9890828720450413,0.77346299126409,0.016947645034330588,0.03462345753612595
Transformer,13 Sept (dense urban),1.0,3072,0.06477864583333333,0.1665797839197781,2.571523096490243,0.7520713557344676,0.02311446688448389,0.05824462739684027
Transformer,13 Sept (dense urban),2.0,3072,0.12076822916666667,0.27575794604825327,2.2833649872243504,0.7487623132492608,0.04068261480683254,0.09960141885815121
Transformer,13 Sept (dense urban),3.0,3072,0.1708984375,0.3572604655764182,2.0904840957157274,0.745743077757212,0.052465051043933876,0.13047724740150843
Transformer,13 Sept (dense urban),5.0,3072,0.2548828125,0.4640490958394002,1.8206370656687578,0.7348142345506049,0.0814285627566278,0.17389572823020305
Transformer,15 Sept (highway),0.5,2205,0.022222222222222223,0.07531455122468646,3.3891548051108904,0.7624853280829956,0.014875042952107195,0.021540091257759898
Transformer,15 Sept (highway),1.0,2205,0.050793650793650794,0.1146516795834705,2.2572049417995754,0.7359011330284623,0.02187005258020991,0.047135848449445156
Transformer,15 Sept (highway),2.0,2205,0.09523809523809523,0.18705509718056829,1.9640785203959672,0.7224012411982336,0.03776152678177559,0.08439792995162665
Transformer,15 Sept (highway),3.0,2205,0.1360544217687075,0.26173411310531913,1.9237457313240955,0.7255765529308836,0.04949824222541631,0.11337141983604063
Transformer,15 Sept (highway),5.0,2205,0.20770975056689342,0.3841006446139179,1.8492181689381857,0.7291801541257252,0.07863153684166282,0.1556059335733699
Dwell time only (LightGBM),10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.08389520102208581,1.6763646589550725,0.6708022756195653,0.022246899315274536,0.04712701311724624
Dwell time only (LightGBM),10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.12748509234299682,1.5256183028738852,0.6501698451848752,0.021997266169791432,0.07539507064742562
Dwell time only (LightGBM),10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.231227949529292,1.5078277666910116,0.658117604270851,0.03727440116129932,0.12617161259917564
Dwell time only (LightGBM),10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.3130235065060646,1.4756822449571616,0.6611690077599168,0.04872889859572484,0.16080566147095232
Dwell time only (LightGBM),10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.4601545682237501,1.4738480141048935,0.67777870493992,0.07542382435486673,0.2021881239008154
Dwell time only (LightGBM),12 Sept (urban loop),0.5,1131,0.042440318302387266,0.10096593384546731,2.3790098162338236,0.7005809479839951,0.021140223162173462,0.03978770088984118
Dwell time only (LightGBM),12 Sept (urban loop),1.0,1131,0.07957559681697612,0.15226333204935488,1.9134425394202264,0.6736791546589818,0.01959939064409834,0.07123370123325888
Dwell time only (LightGBM),12 Sept (urban loop),2.0,1131,0.14588859416445624,0.265286875124649,1.8184209440362302,0.678119706380576,0.04222036789785897,0.11894280906152543
Dwell time only (LightGBM),12 Sept (urban loop),3.0,1131,0.19982316534040673,0.32984800508133083,1.6506995298539167,0.6698454994377354,0.04435583968039614,0.15124999021373678
Dwell time only (LightGBM),12 Sept (urban loop),5.0,1131,0.28470380194518125,0.41874677857615195,1.4708155483528815,0.6570261575904612,0.04899966353260692,0.19180675246423065
Dwell time only (LightGBM),13 Sept (dense urban),0.5,3072,0.036783854166666664,0.05647616036178716,1.5353518993930104,0.6131750441879731,0.016599962002057135,0.03546755554825289
Dwell time only (LightGBM),13 Sept (dense urban),1.0,3072,0.06477864583333333,0.10065835104506007,1.553881680454395,0.6233027301491796,0.02143375885274662,0.060368719221759126
Dwell time only (LightGBM),13 Sept (dense urban),2.0,3072,0.12076822916666667,0.18445515276170638,1.5273483269109487,0.6245490588990201,0.03488126594369783,0.1049224753637837
Dwell time only (LightGBM),13 Sept (dense urban),3.0,3072,0.1708984375,0.2515069220231445,1.4716747894382856,0.621689756389403,0.04662867976342437,0.13952762350979997
Dwell time only (LightGBM),13 Sept (dense urban),5.0,3072,0.2548828125,0.3569974015441747,1.4006334834530072,0.6195849213881481,0.057141396398093465,0.18651990917506703
Dwell time only (LightGBM),15 Sept (highway),0.5,2205,0.022222222222222223,0.052723186130570435,2.3725433758756695,0.7033811669380183,0.016622985467160577,0.021721337680281227
Dwell time only (LightGBM),15 Sept (highway),1.0,2205,0.050793650793650794,0.08410637162509216,1.6558441913690018,0.6292467237731213,0.024776106016842932,0.048278025135845726
Dwell time only (LightGBM),15 Sept (highway),2.0,2205,0.09523809523809523,0.14669992221229497,1.5403491832290972,0.6231006086645184,0.04283668329433968,0.08601473882640776
Dwell time only (LightGBM),15 Sept (highway),3.0,2205,0.1360544217687075,0.20647784968537167,1.5176121951874817,0.6230262467191601,0.05545106929279879,0.11730852734184605
Dwell time only (LightGBM),15 Sept (highway),5.0,2205,0.20770975056689342,0.2982767063340689,1.4360265010188251,0.619873619904865,0.07056190573266884,0.16353631428858503
History block only (LightGBM),10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.08639648552813987,1.7263444539476023,0.6882906691616302,0.014466413606128267,0.04686920462995803
History block only (LightGBM),10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.14179452439618423,1.6968597479938972,0.6779493052038142,0.018179454783556773,0.07460371480285781
History block only (LightGBM),10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.25488785256030694,1.6621130026237978,0.6814933040643225,0.042873803344788644,0.12380141335894858
History block only (LightGBM),10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.34181692347766557,1.611422639251852,0.6821997446997448,0.05271008282127934,0.1569150862013926
