protocol,learner,horizon_s,auprc,lift,auroc,ece
chunk_grouped,gru,1.0,0.12624743377244324,1.859280388285073,0.7172497384664285,0.03665893140120742
chunk_grouped,gru,2.0,0.22863043296320015,1.8176119420574413,0.7230008894119272,0.048206670840192506
chunk_grouped,gru,3.0,0.31025839491570095,1.7606599991713208,0.7246384578387469,0.05686011674755134
chunk_grouped,gru,5.0,0.4363972669957847,1.6704890478938061,0.7262438877404358,0.05895830950494303
chunk_grouped,lgbm,0.5,0.10248829120150267,2.758509304878063,0.7749169280892835,0.01801216378955191
chunk_grouped,lgbm,1.0,0.17980396713261967,2.6480220614076715,0.7718466352704928,0.027495598269282145
chunk_grouped,lgbm,2.0,0.28929023572480017,2.2998573740121615,0.7609988552367982,0.04681579862315214
chunk_grouped,lgbm,3.0,0.3730821779930877,2.117173549404264,0.7525418286813309,0.06065631200202401
chunk_grouped,lgbm,5.0,0.4885465213519544,1.8701116506143027,0.7435382843751613,0.08286653223398589
chunk_grouped,lr,0.5,0.10272354681213308,2.7648412944481966,0.7783232271830481,0.00850051480015616
chunk_grouped,lr,1.0,0.16799400242787096,2.4740934903013727,0.7633503216739692,0.012442736381207256
chunk_grouped,lr,2.0,0.27798338170279663,2.209967884537233,0.7559843483238101,0.020899086683090318
chunk_grouped,lr,3.0,0.36105059480878127,2.0488965016709826,0.7514137571463454,0.023866473295929974
chunk_grouped,lr,5.0,0.4797125809922271,1.8362961303607943,0.7455826802308708,0.025440641266595565
chunk_grouped,mlp,0.5,0.08476743031782347,2.281545945795713,0.7335214640829403,0.018492427682401318
chunk_grouped,mlp,1.0,0.14957731819166606,2.202865958822718,0.7300074078852791,0.03686919905003877
chunk_grouped,mlp,2.0,0.25874186311806996,2.0569978117886563,0.7260143736862362,0.04753055568678657
chunk_grouped,mlp,3.0,0.34393163102874363,1.9517494937295392,0.7244999874939054,0.056519637626824604
chunk_grouped,mlp,5.0,0.4567959954904654,1.7485735253148176,0.7217550742118813,0.06399878617352912
chunk_grouped,tcn,0.5,0.10032296688610812,2.7002288203264087,0.7662315858686555,0.012606348041440679
chunk_grouped,tcn,1.0,0.16470588907627937,2.425668548214296,0.7519451860783767,0.022769263632475785
chunk_grouped,tcn,2.0,0.27492892287047854,2.185684936820304,0.7436619839930525,0.03241025674684659
chunk_grouped,tcn,3.0,0.3589469294100943,2.0369585828916525,0.7415984741879348,0.040747213521232534
chunk_grouped,tcn,5.0,0.47652860452860163,1.824108158039489,0.7390915201419463,0.047062509725095514
chunk_grouped,transformer,0.5,0.0957917375926814,2.578269150378566,0.7478482640312183,0.016860542036618992
chunk_grouped,transformer,1.0,0.15504715395162283,2.283421721832991,0.7279730971383158,0.025378171721594386
chunk_grouped,transformer,2.0,0.26616404305572106,2.116004142292983,0.731921993269582,0.03720249622650644
chunk_grouped,transformer,3.0,0.34422381184394435,1.9534075667495747,0.7290721331288875,0.047116731531048554
chunk_grouped,transformer,5.0,0.46124934250997296,1.765620532675269,0.7272963852928609,0.06140237052541164
loco,a3,0.5,0.06752526401446068,1.8174668239127256,0.6941907110379183,0.35824733934257674
loco,a3,1.0,0.11634776147249895,1.7134852144131665,0.6887807295248844,0.34384558947388183
loco,a3,2.0,0.20384406432276894,1.6205603113660132,0.6824927095360749,0.3229976975568075
loco,a3,3.0,0.2720311856264344,1.543727534559528,0.6752142630404537,0.30890498849554504
loco,a3,5.0,0.37433207645352806,1.4329091433036076,0.6659662316570711,0.2923664373657989
loco,gru,0.5,0.07054369356654755,1.8987089434557283,0.7002973449220055,0.02387204802025178
loco,gru,1.0,0.12540619467322245,1.8468912306420036,0.699237410756558,0.03742960830918286
loco,gru,2.0,0.22598620544154724,1.7965903332603004,0.7024884413456889,0.048036245318967476
loco,gru,3.0,0.3043492037025126,1.7271264130798238,0.7024519997245233,0.05754852261599921
loco,gru,5.0,0.419195926263794,1.604643880027167,0.6991370809839557,0.06571578477233155
loco,lgbm,0.5,0.08588763752555305,2.3116967266282082,0.7438807895171585,0.02094126032173692
loco,lgbm,1.0,0.15963327173256736,2.350962729152356,0.7498233045398143,0.03275339364802223
loco,lgbm,2.0,0.25909628228747483,2.059815444185425,0.7377296311099268,0.05420508694936991
