cap,lat,lon,pp
1,23.83741,90.48398,1
1,23.83741,90.48398,0
1,23.83731,90.48394,0
1,23.83731,90.48394,0
1,23.83727,90.48391,0
1,23.83722,90.4835,0
1,23.83722,90.48341,0
1,23.83722,90.48311,0
1,23.83722,90.4822,0
1,23.83722,90.48194,0
1,23.83646,90.4757,0
1,23.83551,90.47017,0
1,23.83515,90.46835,0
1,23.83392,90.46299,0
1,23.83379,90.46245,0
1,23.83375,90.46227,0
1,23.83278,90.45842,0
1,23.8325,90.45718,0
1,23.83237,90.45676,0
1,23.83237,90.45676,0
1,23.8322,90.45615,0
1,23.83203,90.45536,0
1,23.83194,90.45498,0
1,23.83173,90.45409,1
1,23.83169,90.45392,1
1,23.8316,90.45356,1
1,23.83156,90.45338,0
1,23.83153,90.4532,0
1,23.83148,90.45301,0
1,23.83129,90.45225,1
1,23.83124,90.45205,0
1,23.83002,90.44642,1
1,23.82998,90.44622,1
1,23.82994,90.44603,0
1,23.82962,90.44456,0
1,23.82942,90.44361,1
1,23.82939,90.44342,0
1,23.82878,90.4401,0
1,23.8287,90.43971,0
1,23.82864,90.43932,0
1,23.82802,90.43615,0
1,23.82707,90.43189,0
1,23.8268,90.43047,0
1,23.8264,90.42868,0
1,23.8264,90.42868,0
1,23.82577,90.42526,1
1,23.82563,90.42469,0
1,23.82554,90.42434,0
1,23.8255,90.42417,0
1,23.82539,90.42369,0
1,23.82539,90.42369,0
1,23.82531,90.42335,0
1,23.82528,90.42325,0
1,23.82517,90.42278,0
1,23.82496,90.42212,0
1,23.82481,90.42193,0
1,23.82481,90.42193,0
1,23.82467,90.42181,0
1,23.82451,90.42172,0
1,23.82432,90.42166,0
1,23.82401,90.42161,1
1,23.82381,90.4216,0
1,23.82083,90.42077,0
1,23.82079,90.41906,0
1,23.82068,90.41892,1
1,23.8205,90.41864,1
1,23.82046,90.41858,0
1,23.82039,90.41848,0
1,23.82036,90.41843,0
1,23.82025,90.41827,1
1,23.82024,90.41824,1
1,23.82025,90.41826,0
1,23.82026,90.41827,0
1,23.82027,90.41827,0
1,23.82019,90.41807,0
1,23.82012,90.41798,0
1,23.81978,90.41757,0
1,23.81979,90.41749,0
1,23.81872,90.41571,0
1,23.81854,90.4154,0
1,23.81746,90.41406,1
1,23.81718,90.41368,0
1,23.81697,90.41338,0
1,23.81594,90.41178,0
1,23.81543,90.41095,0
1,23.81454,90.40927,0
1,23.81431,90.4088,0
1,23.81283,90.40619,0
1,23.81087,90.40407,0
1,23.80613,90.40266,0
1,23.80583,90.40262,1
1,23.80523,90.40252,0
1,23.80377,90.40243,0
1,23.80365,90.40242,0
1,23.80255,90.40218,0
1,23.80085,90.40186,0
1,23.80013,90.40174,0
1,23.799,90.40154,1
1,23.79819,90.4014,0
1,23.79641,90.40097,1
1,23.7961,90.40089,0
1,23.79579,90.40081,0
1,23.79376,90.40039,0
1,23.79215,90.40013,1
1,23.79129,90.40002,0
1,23.79053,90.39987,0
1,23.79041,90.39985,0
1,23.78961,90.3997,1
1,23.78821,90.39948,0
1,23.78805,90.39945,0
1,23.78789,90.39943,0
1,23.78757,90.39938,0
1,23.78543,90.39903,0
1,23.78451,90.39889,0
1,23.7831,90.39864,0
1,23.78142,90.39841,0
1,23.78128,90.39838,0
1,23.78101,90.39834,0
1,23.78074,90.39831,0
1,23.78009,90.39822,1
1,23.77985,90.39818,0
1,23.77952,90.39812,0
1,23.77818,90.39787,0
1,23.77806,90.39785,0
1,23.77794,90.39783,0
1,23.77782,90.39781,0
1,23.77664,90.39764,0
1,23.77636,90.39758,0
1,23.77548,90.39745,0
1,23.77445,90.39728,0
1,23.77415,90.39723,0
1,23.77338,90.39709,0
1,23.77194,90.39685,0
1,23.77145,90.39677,0
1,23.77064,90.39665,0
1,23.77,90.39655,0
1,23.76952,90.39647,1
1,23.76936,90.39644,0
1,23.7689,90.39636,0
1,23.7686,90.39628,0
1,23.76743,90.39599,0
1,23.76731,90.39596,1
1,23.76708,90.39591,1
1,23.76648,90.39575,1
1,23.76629,90.39569,1
1,23.766,90.39562,0
1,23.76545,90.39548,0
1,23.76435,90.39523,0
1,23.76426,90.39522,0
1,23.76396,90.39519,1
1,23.76386,90.39518,0
2,23.83833,90.36397,0
2,23.83833,90.36397,0
2,23.83833,90.36397,0
2,23.83833,90.36397,1
2,23.83833,90.36397,1
2,23.83833,90.36397,0
2,23.83833,90.36397,0
2,23.83833,90.36397,0
2,23.83833,90.36397,0
2,23.83833,90.36397,0
2,23.83833,90.36397,0
2,23.83833,90.36397,0
2,23.83833,90.36397,0
2,23.83833,90.36397,1
2,23.83833,90.36397,0
2,23.83833,90.36397,0
2,23.83833,90.36397,0
2,23.83833,90.36397,1
2,23.83833,90.36397,0
2,23.83862,90.36429,0
2,23.83871,90.36414,0
2,23.83885,90.36421,0
2,23.84105,90.36403,1
2,23.84111,90.364,0
2,23.84111,90.364,1
2,23.84134,90.36392,0
2,23.84196,90.36374,0
2,23.84267,90.36352,1
2,23.84298,90.36348,0
2,23.84313,90.36347,1
2,23.8433,90.36346,1
2,23.8433,90.36346,1
2,23.84356,90.36342,0
2,23.84748,90.36319,0
2,23.84755,90.3632,0
2,23.84761,90.36321,0
2,23.84784,90.36324,0
2,23.84829,90.3633,0
2,23.84844,90.36333,1
2,23.84875,90.36337,1
2,23.84882,90.36338,1
2,23.84898,90.3634,1
2,23.84913,90.36342,1
2,23.8492,90.36343,1
2,23.84935,90.36346,1
2,23.84943,90.36347,0
2,23.84972,90.36351,0
2,23.85094,90.36369,1
2,23.85109,90.36372,1
2,23.85124,90.36374,0
2,23.85188,90.36384,1
2,23.85202,90.36386,0
2,23.85239,90.36392,0
2,23.85262,90.36395,0
