cap,did,lat,lon,serving_rsrp,speed_kmh
1,2,23.86984,90.4005,-80.0,13.0
1,2,23.86981,90.40049,-80.5,13.0
1,2,23.86977,90.40048,-81.0,16.0
1,2,23.86973,90.40047,-82.0,15.0
1,2,23.86969,90.40046,-82.0,16.5
1,2,23.86965,90.40045,-82.0,18.0
1,2,23.8696,90.40045,-82.5,18.5
1,2,23.86955,90.40045,-83.0,19.0
1,2,23.8695,90.40045,-85.0,19.0
1,2,23.86944,90.40045,-87.0,19.0
1,2,23.86939,90.40045,-88.0,20.0
1,2,23.86933,90.40045,-89.0,22.0
1,2,23.86927,90.40045,-91.0,24.0
1,2,23.8692,90.40045,-92.0,25.0
1,2,23.86914,90.40045,-92.0,25.0
1,2,23.86908,90.40044,-92.5,25.0
1,2,23.86903,90.40044,-93.0,18.0
1,2,23.86899,90.40044,-95.0,13.0
1,2,23.86896,90.40045,-95.0,10.0
1,2,23.868935,90.400455,-95.0,9.5
1,2,23.86891,90.40046,-95.0,9.0
1,2,23.86891,90.40046,-97.0,9.0
1,2,23.86886,90.40045,-97.0,9.0
1,2,23.86885,90.40046,-103.0,7.0
1,2,23.86885,90.40046,-105.0,6.0
1,3,23.86883,90.40046,-103.0,6.0
1,3,23.8688,90.40046,-102.0,6.0
1,3,23.8688,90.40046,-95.0,3.0
1,3,23.8688,90.40047,-104.0,1.0
1,3,23.86879,90.40047,-96.0,0.0
1,3,23.86879,90.40047,-98.0,0.0
1,3,23.86879,90.40047,-98.0,0.0
1,3,23.86878,90.40047,-97.0,1.0
1,3,23.86878,90.40047,-97.5,1.0
1,3,23.86878,90.40047,-98.0,4.0
1,3,23.86873,90.40047,-98.0,9.0
1,3,23.868705,90.400475,-99.0,9.0
1,3,23.86868,90.40048,-99.0,9.0
1,3,23.86866,90.40048,-102.0,9.0
1,3,23.86865,90.40048,-102.0,6.0
1,3,23.86864,90.40048,-101.0,5.0
1,3,23.86863,90.40048,-101.0,2.0
1,3,23.86863,90.40048,-101.0,2.0
1,3,23.86862,90.40048,-101.0,4.0
1,3,23.86861,90.40048,-100.0,4.0
1,3,23.86859,90.40048,-99.0,7.0
1,3,23.86857,90.40048,-98.0,7.0
1,3,23.86856,90.40049,-98.0,7.0
1,3,23.86855,90.40048,-98.0,2.0
1,3,23.86855,90.40048,-98.0,2.0
1,3,23.86855,90.40048,-99.0,1.0
1,3,23.868545,90.40048,-100.0,1.0
1,3,23.86854,90.40048,-101.0,1.0
1,3,23.86854,90.40048,-102.0,2.0
1,3,23.86853,90.40048,-101.0,3.0
1,3,23.86852,90.40048,-101.0,3.0
1,3,23.86851,90.40048,-100.5,4.0
1,3,23.8685,90.40048,-100.0,5.0
1,3,23.86848,90.40048,-98.0,5.0
1,3,23.86847,90.40048,-99.0,5.0
1,3,23.86847,90.40048,-98.5,6.0
1,3,23.86844,90.40048,-98.0,6.0
1,3,23.86842,90.40048,-99.0,10.0
1,3,23.86839,90.40048,-99.0,13.0
1,3,23.86835,90.40048,-99.0,16.0
1,3,23.86832,90.40047,-99.5,16.0
1,3,23.86829,90.40046,-100.0,12.0
1,3,23.86826,90.40046,-99.0,7.0
1,3,23.86825,90.40046,-98.0,3.0
