variant,model,horizon_s,fold,seed,n,positive_rate,auprc,auprc_lift,auroc,brier,ece
rf+mobility+history,hazard LGBM,0.5,1,1337,1587,0.05040957781978576,0.5604965984253829,11.118851271263534,0.9314449236894492,0.03165056732132669,0.02393504076321083
rf+mobility+history,hazard LGBM,1.0,1,1337,1587,0.08380592312539382,0.7553520640432624,9.013110719072612,0.9295953087671034,0.03431944537349498,0.026386524105267407
rf+mobility+history,hazard LGBM,2.0,1,1337,1579,0.15452818239392022,0.647257120357327,4.188602430509095,0.8609074722171056,0.08734616436534527,0.05029337506277477
rf+mobility+history,hazard LGBM,3.0,1,1337,1571,0.21578612348822407,0.6351444656825708,2.943398099077636,0.8300770026433744,0.12787592067381254,0.07484410790230128
rf+mobility+history,hazard LGBM,5.0,1,1337,1552,0.3125,0.6663317208878471,2.1322615068411106,0.8004386515811748,0.17376262375459836,0.10471047654348424
rf+mobility+history,multi-head MLP,0.5,1,1337,1587,0.05040957781978576,0.47720608017216515,9.466575615415326,0.8651045122760451,0.034756678668558395,0.028553728695530464
rf+mobility+history,multi-head MLP,1.0,1,1337,1587,0.08380592312539382,0.7156854402631341,8.539795441335292,0.8938525819362712,0.03738848524600807,0.02773799916552768
rf+mobility+history,multi-head MLP,2.0,1,1337,1579,0.15452818239392022,0.5999986798056117,3.8827783418568065,0.8239853871185608,0.09977148312745954,0.0721959235272505
rf+mobility+history,multi-head MLP,3.0,1,1337,1571,0.21578612348822407,0.5867180383204391,2.7189794637209728,0.7681660154005286,0.1436211491763847,0.1040357587769225
rf+mobility+history,multi-head MLP,5.0,1,1337,1552,0.3125,0.6402290161113267,2.0487328515562453,0.78470130146185,0.19052719704656787,0.1382754720087561
rf+mobility+history,hazard MLP,0.5,1,1337,1587,0.05040957781978576,0.5346507676094667,10.606134602452796,0.8933974784339749,0.033637652479097946,0.026635703273534303
rf+mobility+history,hazard MLP,1.0,1,1337,1587,0.08380592312539382,0.6267970886273305,7.4791502229441615,0.8788718701844019,0.047761038819332746,0.03274606930366554
rf+mobility+history,hazard MLP,2.0,1,1337,1579,0.15452818239392022,0.5383980046091038,3.484141185564651,0.7909743967581505,0.1065504983940736,0.07289939946523236
rf+mobility+history,hazard MLP,3.0,1,1337,1571,0.21578612348822407,0.5586183247626408,2.588759257233359,0.7631977167375398,0.15084345016666723,0.1063747782752369
rf+mobility+history,hazard MLP,5.0,1,1337,1552,0.3125,0.6123023042817257,1.9593673737015223,0.7394641494120717,0.20144721149309133,0.13792002983202772
+ self-excitation,multi-head LGBM,0.5,1,1337,1587,0.05040957781978576,0.5799162915407219,11.50408943343907,0.9323822163238221,0.0325347696073089,0.028397578600953207
+ self-excitation,multi-head LGBM,1.0,1,1337,1587,0.08380592312539382,0.7842705998094384,9.358176254869013,0.9365763101012503,0.034218164913721566,0.03317172027679903
+ self-excitation,multi-head LGBM,2.0,1,1337,1579,0.15452818239392022,0.6643728943951757,4.299363935450747,0.8609565911463131,0.08867821569653873,0.06510156054232555
+ self-excitation,multi-head LGBM,3.0,1,1337,1571,0.21578612348822407,0.6515245271648151,3.0193068795749984,0.8264232080603762,0.12974134168003623,0.09237871319093192
+ self-excitation,multi-head LGBM,5.0,1,1337,1552,0.3125,0.6616406086703499,2.11724994774512,0.8020058164813186,0.1807138442668424,0.13164927202290974
