variant,model,horizon_s,positive_rate_mean,positive_rate_std,auprc_mean,auprc_std,auprc_lift_mean,auprc_lift_std,auroc_mean,auroc_std,brier_mean,brier_std,ece_mean,ece_std
rf+mobility+history,hazard MLP,5.0,0.2609,0.0335,0.5447,0.0524,2.1011,0.1806,0.7355,0.0274,0.1874,0.0171,0.1364,0.0223
rf+mobility+history,multi-head LGBM,0.5,0.0373,0.0057,0.4452,0.0568,12.1191,1.9094,0.9269,0.0167,0.0269,0.0039,0.023,0.0035
rf+mobility+history,multi-head LGBM,1.0,0.0677,0.0094,0.7968,0.0288,11.9566,1.5556,0.9345,0.0117,0.0244,0.0046,0.0224,0.0046
rf+mobility+history,multi-head LGBM,2.0,0.126,0.0172,0.6317,0.0296,5.0818,0.5633,0.8554,0.013,0.0751,0.009,0.0546,0.0078
rf+mobility+history,multi-head LGBM,3.0,0.1765,0.0241,0.5975,0.0429,3.419,0.3143,0.8144,0.0184,0.1138,0.0113,0.0772,0.009
rf+mobility+history,multi-head LGBM,5.0,0.2609,0.0335,0.6075,0.0485,2.3469,0.2005,0.781,0.0212,0.1671,0.0157,0.1114,0.0188
rf+mobility+history,multi-head LGBM + isotonic,0.5,0.0373,0.0057,0.4212,0.0514,11.4967,1.9675,0.9206,0.0178,0.0253,0.0042,0.0122,0.0038
rf+mobility+history,multi-head LGBM + isotonic,1.0,0.0677,0.0094,0.7608,0.0342,11.4165,1.5204,0.9311,0.012,0.024,0.0041,0.0102,0.0049
rf+mobility+history,multi-head LGBM + isotonic,2.0,0.126,0.0172,0.5945,0.0291,4.7839,0.5485,0.852,0.0138,0.0718,0.0083,0.0225,0.0091
rf+mobility+history,multi-head LGBM + isotonic,3.0,0.1765,0.0241,0.555,0.0404,3.1754,0.2874,0.8098,0.0185,0.1072,0.0106,0.0332,0.0125
rf+mobility+history,multi-head LGBM + isotonic,5.0,0.2609,0.0335,0.5713,0.0469,2.2065,0.1886,0.7765,0.0208,0.1525,0.0126,0.0461,0.0134
rf+mobility+history,multi-head LGBM + isotonic + monotone,0.5,0.0373,0.0057,0.4404,0.0517,12.0185,2.0,0.9263,0.0162,0.0247,0.0042,0.012,0.0036
rf+mobility+history,multi-head LGBM + isotonic + monotone,1.0,0.0677,0.0094,0.7765,0.0301,11.6607,1.587,0.9333,0.0121,0.0244,0.0041,0.0115,0.0044
rf+mobility+history,multi-head LGBM + isotonic + monotone,2.0,0.126,0.0172,0.611,0.0271,4.9179,0.5658,0.8541,0.0133,0.071,0.0084,0.0214,0.0089
rf+mobility+history,multi-head LGBM + isotonic + monotone,3.0,0.1765,0.0241,0.579,0.0377,3.3163,0.3229,0.8142,0.0176,0.1057,0.0106,0.0332,0.012
rf+mobility+history,multi-head LGBM + isotonic + monotone,5.0,0.2609,0.0335,0.5896,0.0429,2.2795,0.2039,0.7808,0.0205,0.1506,0.0125,0.0469,0.0134
rf+mobility+history,multi-head MLP,0.5,0.0373,0.0057,0.3541,0.058,9.6206,1.7635,0.8923,0.0194,0.0296,0.0045,0.0203,0.0047
