model,arm,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
tcn,default,3.0,5979,0.18748954674694765,0.48040480889607695,2.5623018308560606,0.7635368093461808,0.18026493280578038,0.603280448025373,0.1606727896339642,0.49511677282377925,0.7106901407241821,0.09991079393398751,0.9886542558670044,0.30419268510258696,0.9160680174827576,0.44424620874219445,0.8072938919067383,0.4746467165419784,0.2940983606557377
tcn,default,5.0,5906,0.2758211987809008,0.5462895650809337,1.9805931070398985,0.7502619045466112,0.20664110585372686,0.6731720251913262,0.14845040909264107,0.5574324324324323,0.548302173614502,0.08287292817679558,0.9927963614463806,0.240024554941682,0.945006787776947,0.3934929404542664,0.8488077521324158,0.550303848750844,0.4035902197462086
tcn,tuned,0.5,6049,0.04199041163828732,0.40206175514557124,9.57508486958882,0.9007595469893268,0.0624488732946035,0.22384095499214504,0.0750540959971437,0.46905537459283386,0.8071996569633484,0.2637795275590551,0.9709857702255249,0.610236220472441,0.734245777130127,0.7401574803149606,0.3297156095504761,0.4205298013245033,0.2163308589607635
tcn,tuned,1.0,6049,0.07257397917011076,0.6327164236234541,8.718226985189691,0.8930444739502758,0.06885232910694436,0.25740026863833104,0.07965246342736668,0.5993413830954994,0.7824802994728088,0.4305239179954442,0.9561120867729187,0.6605922551252847,0.6940616965293884,0.7494305239179955,0.3643256723880768,0.650887573964497,0.2962962962962963
tcn,tuned,2.0,6014,0.13451945460591952,0.5177914212955473,3.8491935817940934,0.8092392382051583,0.14491387525250082,0.49775026586014465,0.14863465896428224,0.5006535947712418,0.8398362994194031,0.2200247218788628,0.9854653477668762,0.41409147095179233,0.881809413433075,0.5414091470951793,0.7177107930183411,0.4975429975429975,0.2517428350116189
tcn,tuned,3.0,5979,0.18748954674694765,0.5199560974893986,2.7732537974033136,0.7758872955357671,0.18162877215238224,0.6229764013158933,0.16881167768698918,0.5044722719141324,0.7736543416976929,0.14897413024085637,0.9906097054481506,0.33541480820695807,0.9227855801582336,0.47725245316681536,0.8018003702163696,0.5058400718778078,0.3082474226804124
tcn,tuned,5.0,5906,0.2758211987809008,0.5674306065385465,2.0572407380089968,0.7520798428874131,0.21251403808093447,0.7054670185262524,0.173751476207543,0.5506345506345507,0.47079238295555115,0.10988336402701043,0.991922914981842,0.2719459791282996,0.9392249584197998,0.41559238796807857,0.8449137806892395,0.5491638795986622,0.39841124350748547
transformer,default,0.5,6049,0.04199041163828732,0.3401414654403011,8.100455608064495,0.8376471707214338,0.07242133965764094,0.2545346464012823,0.09154461311275527,0.4332129963898917,0.8352851867675781,0.24803149606299213,0.9406899213790894,0.5590551181102362,0.7226281762123108,0.6259842519685039,0.4214945435523987,0.3587570621468927,0.11826086956521739
transformer,default,1.0,6049,0.07257397917011076,0.5703101936815518,7.858328841867214,0.8588986474689275,0.0748274862453119,0.2727719286216196,0.08582186273180682,0.5833333333333334,0.8256509900093079,0.39635535307517084,0.9260807633399963,0.6173120728929385,0.695933997631073,0.7084282460136674,0.42573389410972595,0.6666666666666666,0.2371967654986523
transformer,default,2.0,6014,0.13451945460591952,0.47494534833857277,3.5306814893796994,0.7826489695061205,0.13683986600613454,0.5003952154743692,0.1559638649518259,0.5054945054945055,0.7701971530914307,0.12855377008652658,0.9807000160217285,0.4289245982694685,0.8294641971588135,0.553770086526576,0.6596856713294983,0.49573690621193667,0.22468793342579751
transformer,default,3.0,5979,0.18748954674694765,0.4738457442397399,2.5273182023277476,0.7552577041685932,0.17306258573933395,0.6303165906931849,0.16684318337044024,0.5017006802721088,0.6586241126060486,0.09723461195361284,0.9923242330551147,0.320249776984835,0.8921114802360535,0.46297948260481714,0.7569029927253723,0.49298245614035086,0.2824307304785894
transformer,default,5.0,5906,0.2758211987809008,0.5227907513788164,1.8953972852322218,0.7458398477559168,0.20378816824902599,0.7195112035826918,0.1526630006660305,0.5712823137957512,0.4314599931240082,0.0570902394106814,0.9977733492851257,0.18907305095150398,0.9628392457962036,0.3984039287906691,0.8153203129768372,0.5671537926235213,0.40006131207847945
transformer,tuned,0.5,6049,0.04199041163828732,0.4059999425208122,9.668872646883438,0.9035973178072327,0.05663661841902461,0.21630248524101764,0.06185814290610987,0.4948024948024948,0.9431107640266418,0.2755905511811024,0.9782226085662842,0.6456692913385826,0.620099663734436,0.7244094488188977,0.20019878447055817,0.46863468634686345,0.17555938037865748
transformer,tuned,1.0,6049,0.07257397917011076,0.6788991505272944,9.354580777994544,0.9007893486655378,0.05966086037833146,0.22848786100542634,0.06406723346859293,0.6544566544566545,0.8647699952125549,0.530751708428246,0.9546394944190979,0.6765375854214123,0.5954367518424988,0.7403189066059226,0.24469967186450958,0.85,0.29780033840947545
transformer,tuned,2.0,6014,0.13451945460591952,0.5418679916528664,4.028175651174707,0.7975582098129949,0.14073405785904114,0.4839846218059853,0.1449393440375026,0.49133383571966843,0.8883829116821289,0.2904820766378245,0.9753574728965759,0.4252163164400494,0.8479512333869934,0.5241038318912238,0.686710000038147,0.4671280276816609,0.23234134098243098
transformer,tuned,3.0,5979,0.18748954674694765,0.5225492863277404,2.7870849089683856,0.7617953813366513,0.1811124336359875,0.6151856012102884,0.16825753977727315,0.47871925029285434,0.601772129535675,0.20517395182872436,0.9843150973320007,0.32738626226583406,0.9102750420570374,0.43889384478144516,0.7860560417175293,0.4403453689167975,0.2826086956521739
transformer,tuned,5.0,5906,0.2758211987809008,0.562747440135839,2.040261744286228,0.7388370677426749,0.21865194443785008,0.717203416395405,0.18359043980586764,0.5371738060068931,0.3738366365432739,0.13075506445672191,0.9910010695457458,0.27992633517495397,0.9372419714927673,0.3898096992019644,0.848088264465332,0.5284974093264249,0.37203994293865905
