model,arm,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
mlp,default,0.5,6049,0.0419904116382873,0.3939821713044241,9.382669898505757,0.9074297011406792,0.0629388201640484,0.226577581954577,0.0782769674160492,0.4989939637826961,0.9065956473350524,0.2440944881889764,0.9788700342178344,0.610236220472441,0.7035897374153137,0.7401574803149606,0.3487715125083923,0.4792452830188679,0.1959654178674351
mlp,default,1.0,6049,0.0725739791701107,0.689102991060911,9.495179938331324,0.9130331859395238,0.064425562268458,0.2281133687761048,0.0803872256283114,0.647953216374269,0.8105669021606445,0.5239179954441914,0.9308080673217772,0.7038724373576309,0.6281912326812744,0.7835990888382688,0.37832972407341,0.8339622641509434,0.3302063789868668
mlp,default,2.0,6014,0.1345194546059195,0.5858136760589557,4.354862111024178,0.8416004388667833,0.125226976189884,0.4026767625378439,0.1365531683644916,0.5444444444444444,0.7835789322853088,0.2978986402966625,0.955226480960846,0.4870210135970333,0.7714475989341736,0.580964153275649,0.622742235660553,0.5777460770328102,0.2952164009111617
mlp,default,3.0,5979,0.1874895467469476,0.5848076151111755,3.119147841881997,0.8115873501464794,0.1522321850671196,0.476165885873123,0.1425991776691372,0.536662703131193,0.5531294345855713,0.2328278322925959,0.9537801742553712,0.3898305084745763,0.8090751767158508,0.504014272970562,0.6660683155059814,0.5389048991354467,0.3416951729380463
mlp,default,5.0,5906,0.2758211987809008,0.6203994876656854,2.249281383765217,0.7835470695468345,0.1800121505688127,0.5471000023554048,0.1207933356324172,0.573474801061008,0.4729996919631958,0.1761817065684469,0.9588067531585692,0.3106200122774708,0.8388785123825073,0.4432166973603437,0.6998709440231323,0.5940233236151603,0.4285714285714285
mlp,tuned,0.5,6049,0.0419904116382873,0.4374913125509929,10.418838384334476,0.9156780553423056,0.0822203362711842,0.2703557960794223,0.1170430165373447,0.5383104125736738,0.9092261791229248,0.2992125984251969,0.966304361820221,0.6653543307086615,0.7736589908599854,0.7637795275590551,0.574629545211792,0.5443548387096774,0.2181818181818181
mlp,tuned,1.0,6049,0.0725739791701107,0.6929481312291809,9.548162291128282,0.915588011970164,0.080604614276456,0.2735551815849341,0.1146379459924061,0.6649550706033376,0.9131449460983276,0.5466970387243736,0.9457497000694276,0.7084282460136674,0.7343604564666748,0.7835990888382688,0.5075128078460693,0.8544061302681992,0.3457760314341846
mlp,tuned,2.0,6014,0.1345194546059195,0.5996651743655769,4.457832334529765,0.8482715464473283,0.1336107726231449,0.4260491619993464,0.1701962987083582,0.5400552486187845,0.7963271141052246,0.3300370828182942,0.9417200684547424,0.4870210135970333,0.7880042195320129,0.5982694684796045,0.6484852433204651,0.5728429985855729,0.3026623073330219
mlp,tuned,3.0,5979,0.1874895467469476,0.5964046398758298,3.181002089043342,0.8202202130148308,0.154439892050005,0.48476711580857,0.1650785228374724,0.546506453048509,0.6471123695373535,0.2497769848349687,0.9457067251205444,0.3951828724353256,0.807097852230072,0.5343443354148082,0.6641220450401306,0.5704154002026343,0.3609657947686117
mlp,tuned,5.0,5906,0.2758211987809008,0.631094215172787,2.288055515537434,0.793324552228984,0.1746937746432361,0.5362821265105949,0.1247958045984173,0.5828151498021481,0.5085662007331848,0.1896869244935543,0.9508233070373536,0.3308778391651319,0.8095002174377441,0.4628606507059545,0.6795132160186768,0.6053584359160029,0.4482640082502578
transformer,default,0.5,6049,0.0419904116382873,0.3401414654403011,8.100455608064495,0.8376471707214338,0.0724213396576409,0.2545346464012823,0.0915446131127552,0.4332129963898917,0.8352851867675781,0.2480314960629921,0.9406899213790894,0.5590551181102362,0.7226281762123108,0.6259842519685039,0.4214945435523987,0.3587570621468927,0.1182608695652173
transformer,default,1.0,6049,0.0725739791701107,0.5703101936815518,7.858328841867214,0.8588986474689275,0.0748274862453119,0.2727719286216196,0.0858218627318068,0.5833333333333334,0.8256509900093079,0.3963553530751708,0.9260807633399964,0.6173120728929385,0.695933997631073,0.7084282460136674,0.4257338941097259,0.6666666666666666,0.2371967654986523
transformer,default,2.0,6014,0.1345194546059195,0.4749453483385727,3.5306814893796994,0.7826489695061205,0.1368398660061345,0.5003952154743692,0.1559638649518259,0.5054945054945055,0.7701971530914307,0.1285537700865265,0.9807000160217284,0.4289245982694685,0.8294641971588135,0.553770086526576,0.6596856713294983,0.4957369062119366,0.2246879334257975
transformer,default,3.0,5979,0.1874895467469476,0.4738457442397399,2.527318202327748,0.7552577041685932,0.1730625857393339,0.6303165906931849,0.1668431833704402,0.5017006802721088,0.6586241126060486,0.0972346119536128,0.9923242330551147,0.320249776984835,0.8921114802360535,0.4629794826048171,0.7569029927253723,0.4929824561403508,0.2824307304785894
transformer,default,5.0,5906,0.2758211987809008,0.5227907513788164,1.8953972852322216,0.7458398477559168,0.2037881682490259,0.7195112035826918,0.1526630006660305,0.5712823137957512,0.4314599931240082,0.0570902394106814,0.9977733492851256,0.1890730509515039,0.9628392457962036,0.3984039287906691,0.8153203129768372,0.5671537926235213,0.4000613120784794
transformer,tuned,0.5,6049,0.0419904116382873,0.4059999425208122,9.668872646883438,0.9035973178072328,0.0566366184190246,0.2163024852410176,0.0618581429061098,0.4948024948024948,0.9431107640266418,0.2755905511811024,0.9782226085662842,0.6456692913385826,0.620099663734436,0.7244094488188977,0.2001987844705581,0.4686346863468634,0.1755593803786574
transformer,tuned,1.0,6049,0.0725739791701107,0.6788991505272944,9.354580777994544,0.9007893486655378,0.0596608603783314,0.2284878610054263,0.0640672334685929,0.6544566544566545,0.8647699952125549,0.530751708428246,0.954639494419098,0.6765375854214123,0.5954367518424988,0.7403189066059226,0.2446996718645095,0.85,0.2978003384094754
transformer,tuned,2.0,6014,0.1345194546059195,0.5418679916528664,4.028175651174707,0.7975582098129949,0.1407340578590411,0.4839846218059853,0.1449393440375026,0.4913338357196684,0.8883829116821289,0.2904820766378245,0.975357472896576,0.4252163164400494,0.8479512333869934,0.5241038318912238,0.686710000038147,0.4671280276816609,0.2323413409824309
transformer,tuned,3.0,5979,0.1874895467469476,0.5225492863277404,2.7870849089683856,0.7617953813366513,0.1811124336359875,0.6151856012102884,0.1682575397772731,0.4787192502928543,0.601772129535675,0.2051739518287243,0.9843150973320008,0.327386262265834,0.9102750420570374,0.4388938447814451,0.7860560417175293,0.4403453689167975,0.2826086956521739
