operating_point,threshold,alarm_rate,alarms_per_hour,min_lead_time_s,n_adverse_events,n_warned,max_avoidable_frac,random_alarm_reference,lift_over_random,excess_over_random,actuator_efficacy,attainable_benefit_frac,ranker,seed
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,3.0,269,175,0.6505576208178439,0.9720064,0.6692935569332094,-0.3214487791821562,0.75,0.4879182156133829,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,3.0,269,175,0.6505576208178439,0.9720064,0.6692935569332094,-0.3214487791821562,1.0,0.6505576208178439,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,5.0,269,161,0.5985130111524164,0.9222400000000001,0.6489775016833106,-0.32372698884758366,0.25,0.1496282527881041,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,5.0,269,161,0.5985130111524164,0.9222400000000001,0.6489775016833106,-0.32372698884758366,0.5,0.2992565055762082,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,5.0,269,161,0.5985130111524164,0.9222400000000001,0.6489775016833106,-0.32372698884758366,0.75,0.44888475836431224,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,5.0,269,161,0.5985130111524164,0.9222400000000001,0.6489775016833106,-0.32372698884758366,1.0,0.5985130111524164,dedicated ping-pong model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,0.0,269,113,0.4200743494423792,0.18357705612384978,2.2882726104888462,0.23649729331852942,0.25,0.1050185873605948,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,0.0,269,113,0.4200743494423792,0.18357705612384978,2.2882726104888462,0.23649729331852942,0.5,0.2100371747211896,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,0.0,269,113,0.4200743494423792,0.18357705612384978,2.2882726104888462,0.23649729331852942,0.75,0.3150557620817844,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,0.0,269,113,0.4200743494423792,0.18357705612384978,2.2882726104888462,0.23649729331852942,1.0,0.4200743494423792,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,1.0,269,78,0.2899628252788104,0.16684907458033604,1.7378749388220094,0.12311375069847436,0.25,0.0724907063197026,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,1.0,269,78,0.2899628252788104,0.16684907458033604,1.7378749388220094,0.12311375069847436,0.5,0.1449814126394052,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,1.0,269,78,0.2899628252788104,0.16684907458033604,1.7378749388220094,0.12311375069847436,0.75,0.2174721189591078,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,1.0,269,78,0.2899628252788104,0.16684907458033604,1.7378749388220094,0.12311375069847436,1.0,0.2899628252788104,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,2.0,269,72,0.26765799256505574,0.14977834744323126,1.7870272782018977,0.11787964512182447,0.25,0.06691449814126393,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,2.0,269,72,0.26765799256505574,0.14977834744323126,1.7870272782018977,0.11787964512182447,0.5,0.13382899628252787,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,2.0,269,72,0.26765799256505574,0.14977834744323126,1.7870272782018977,0.11787964512182447,0.75,0.20074349442379183,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,2.0,269,72,0.26765799256505574,0.14977834744323126,1.7870272782018977,0.11787964512182447,1.0,0.26765799256505574,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,3.0,269,67,0.24907063197026022,0.1323578520755473,1.8817971738321617,0.11671277989471293,0.25,0.062267657992565055,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,3.0,269,67,0.24907063197026022,0.1323578520755473,1.8817971738321617,0.11671277989471293,0.5,0.12453531598513011,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,3.0,269,67,0.24907063197026022,0.1323578520755473,1.8817971738321617,0.11671277989471293,0.75,0.18680297397769516,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,3.0,269,67,0.24907063197026022,0.1323578520755473,1.8817971738321617,0.11671277989471293,1.0,0.24907063197026022,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,5.0,269,47,0.17472118959107807,0.09643874370569083,1.811732327458428,0.07828244588538724,0.25,0.04368029739776952,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,5.0,269,47,0.17472118959107807,0.09643874370569083,1.811732327458428,0.07828244588538724,0.5,0.08736059479553904,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,5.0,269,47,0.17472118959107807,0.09643874370569083,1.811732327458428,0.07828244588538724,0.75,0.13104089219330856,generic handover model,1338
alarm_top_2pct,0.9917563368920035,0.020077972709551656,72.6845045574831,5.0,269,47,0.17472118959107807,0.09643874370569083,1.811732327458428,0.07828244588538724,1.0,0.17472118959107807,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,0.0,269,196,0.7286245353159851,0.4012630607616213,1.8158275868529044,0.3273614745543638,0.25,0.1821561338289963,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,0.0,269,196,0.7286245353159851,0.4012630607616213,1.8158275868529044,0.3273614745543638,0.5,0.3643122676579926,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,0.0,269,196,0.7286245353159851,0.4012630607616213,1.8158275868529044,0.3273614745543638,0.75,0.5464684014869888,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,0.0,269,196,0.7286245353159851,0.4012630607616213,1.8158275868529044,0.3273614745543638,1.0,0.7286245353159851,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,1.0,269,145,0.5390334572490706,0.3697505902753909,1.4578298762081692,0.16928286697367967,0.25,0.13475836431226765,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,1.0,269,145,0.5390334572490706,0.3697505902753909,1.4578298762081692,0.16928286697367967,0.5,0.2695167286245353,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,1.0,269,145,0.5390334572490706,0.3697505902753909,1.4578298762081692,0.16928286697367967,0.75,0.40427509293680297,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,1.0,269,145,0.5390334572490706,0.3697505902753909,1.4578298762081692,0.16928286697367967,1.0,0.5390334572490706,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,2.0,269,138,0.5130111524163569,0.33657956871093775,1.5241898204966287,0.17643158370541911,0.25,0.12825278810408922,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,2.0,269,138,0.5130111524163569,0.33657956871093775,1.5241898204966287,0.17643158370541911,0.5,0.25650557620817843,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,2.0,269,138,0.5130111524163569,0.33657956871093775,1.5241898204966287,0.17643158370541911,0.75,0.3847583643122677,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,2.0,269,138,0.5130111524163569,0.33657956871093775,1.5241898204966287,0.17643158370541911,1.0,0.5130111524163569,generic handover model,1338
