protocol,gate_mode,model,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
ours (grouped drive K-fold),grid,ours_lgbm_5feat,2.0,650.4,0.22024780309165654,0.49107966263765357,2.2990238164016503,0.7307252701839494,0.19027909574288054,0.5996345141789095,0.15680302650565853,0.4889398591372567,0.4519305832801808,0.1255787687801772,0.9588552193688799,0.2734639792785724,0.8650720047061722,0.35471361081421543,0.7695978081093011,0.4285688887193633,0.31660925684694086
ours (grouped drive K-fold),grid,reward_only_control,2.0,650.4,0.22024780309165654,0.27231212054034737,1.2406745052727568,0.6191326909285229,0.23760072698214305,2.3175315297169603,0.17326980747151186,0.4214071225051246,0.4483699059561129,0.0,inf,0.0,inf,0.0,inf,0.27878231890656535,0.271448220942791
ours (grouped drive K-fold),grid,departmental_q,2.0,650.4,0.22024780309165654,0.23153082684594634,1.0705545144596615,0.4908839609647268,0.35954054655570156,1.0126030234032755,0.39541070150024704,0.3656177472552143,0.394311849658771,0.013685612856240214,0.9393861340089595,0.048380222156570896,0.9240583923632977,0.052214912311826914,0.920912190100319,0.23157081386347222,0.22701628015943803
ours (grouped drive K-fold),grid,departmental_gate,2.0,650.4,0.22024780309165654,0.22024780309165654,1.0,0.498989898989899,0.2219596433199019,3.5775668394877123,0.2219596433199019,0.3582711821309921,0.0,0.0,inf,0.0,inf,0.0,inf,0.22024780309165654,0.22024780309165654
ours (grouped drive K-fold),grid,departmental_q_ttt,2.0,650.4,0.22024780309165654,0.22024780309165654,1.0,0.498989898989899,0.22101959680863015,3.55192269871808,0.22137933691730338,0.3582711821309921,0.0,0.0,inf,0.0,inf,0.0,inf,0.22024780309165654,0.22024780309165654
ours (grouped drive K-fold),grid,ours_lgbm,3.0,646.2,0.2953375115957663,0.6668617529527145,2.3159240520689246,0.7726490782080675,0.18182091717342694,0.6451045592585959,0.15373638107678328,0.5862009107637713,0.2933409984830973,0.2820560888989877,0.9603170229218077,0.3854443209605911,0.849618450991286,0.4837779049434891,0.6429744213653505,0.6351456189422862,0.43161489204718767
ours (grouped drive K-fold),grid,ours_lgbm_5feat,3.0,646.2,0.2953375115957663,0.5325672278668907,1.8515602718676765,0.7157556723584148,0.21793653397640683,0.6603209421158056,0.16478550221234742,0.5388810862395372,0.38288593181754016,0.09633342978992128,0.9581096651237265,0.21525515842468587,0.8824427684187997,0.33078892587740094,0.7932365068282603,0.5043611022989065,0.3904700232866668
ours (grouped drive K-fold),grid,reward_only_control,3.0,646.2,0.2953375115957663,0.3563503243097591,1.2102288530978136,0.6177939535187399,0.25258074784569484,2.2739314481321915,0.1774093656135715,0.5101640848026052,0.4483699059561129,0.0,inf,0.0,inf,0.0,inf,0.36541323856596986,0.35700955402144186
ours (grouped drive K-fold),grid,departmental_q,3.0,646.2,0.2953375115957663,0.31524217071756166,1.0772331763317398,0.4957756556565657,0.3408583273085045,0.9599053309275801,0.3287081576003491,0.4567571019315909,0.3542202765267966,0.02002892868208661,0.936311232296436,0.05665994565739413,0.9221882868675007,0.07719424556342178,0.9164647142349057,0.30864806546970514,0.3027173230062287
ours (grouped drive K-fold),grid,departmental_gate,3.0,646.2,0.2953375115957663,0.2953375115957663,1.0,0.49891696750902526,0.2970567093035027,4.787988524608016,0.2970567093035027,0.45209448493851107,0.0,0.0,inf,0.0,inf,0.0,inf,0.2953375115957663,0.2953375115957663
ours (grouped drive K-fold),grid,departmental_q_ttt,3.0,646.2,0.2953375115957663,0.2953375115957663,1.0,0.49891696750902526,0.29611262247771253,4.762234165468314,0.29647390874731133,0.45209448493851107,0.0,0.0,inf,0.0,inf,0.0,inf,0.2953375115957663,0.2953375115957663
