model,feature_set,seed,condition,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8,auprc_ci_low,auprc_ci_high,n_drives
gru,rf_mob_hist,1337,grouped_drive,0.5,8131,0.036772844668552455,0.26940936707459345,7.326312922018459,0.8543591850260145,0.10199965312509683,0.3156071028185396,0.160352505597086,0.3811074918566776,0.8604730367660522,0.19063545150501673,0.922981321811676,0.4816053511705686,0.78397136926651,0.6220735785953178,0.6372117400169373,0.25463743676222594,0.10661928031985785,0.21428054098249233,0.34835028129159407,57
gru,rf_mob_hist,1337,grouped_drive,1.0,8131,0.0670274259008732,0.47472515955676436,7.0825509584514705,0.8718763681044512,0.12029181379095831,0.36794918859398984,0.17269113194463007,0.5004405286343613,0.8386770486831665,0.3137614678899083,0.9295069575309753,0.5412844036697247,0.8191618323326111,0.655045871559633,0.705170750617981,0.4927797833935018,0.20771796093377798,0.41382847964563113,0.5338306113871759,57
gru,rf_mob_hist,1337,grouped_drive,2.0,8084,0.12481444829292429,0.44328314513203365,3.551537111246145,0.8075498604432897,0.16582825673712956,0.5025023890501005,0.19719875127936307,0.46945898778359507,0.7553346753120422,0.13181367690782952,0.9490072131156921,0.3875123885034688,0.8597073554992676,0.5163528245787908,0.7701181769371033,0.4350816852966466,0.2376470588235294,0.39064429637509174,0.49252745932801334,57
gru,rf_mob_hist,1337,grouped_drive,3.0,8038,0.17491913411296342,0.4701768406633298,2.687966888514826,0.7828214896694675,0.1843947664689325,0.5581440756874225,0.1808384311916462,0.491981845688351,0.6767352223396301,0.08961593172119488,0.962253987789154,0.3236130867709815,0.87394779920578,0.45590327169274536,0.7906100153923035,0.4631093544137022,0.29035585353274884,0.4118620806597281,0.5282647083483853,57
gru,rf_mob_hist,1337,grouped_drive,5.0,7941,0.2591613146958821,0.5277475419880474,2.0363669732395944,0.7589480123172846,0.2070086004227416,0.6194542570692,0.15666811988381613,0.5337646583097453,0.5424036979675293,0.06656948493683187,0.9680812358856201,0.26724975704567544,0.8856948614120483,0.40573372206025266,0.81179279088974,0.5252422233554309,0.3840967216926296,0.4657106473606083,0.5943791454759424,57
tcn,rf_mob_hist,1337,grouped_drive,0.5,8131,0.036772844668552455,0.3526632271429695,9.590316722071856,0.8796704028750926,0.06524101379868806,0.21938594714956422,0.08304043827445733,0.44012944983818775,0.869415283203125,0.27424749163879597,0.9506655335426331,0.5418060200668896,0.6909356713294983,0.6555183946488294,0.39835965633392334,0.3694581280788177,0.14311270125223613,0.2876932908575035,0.4286098802337385,57
tcn,rf_mob_hist,1337,grouped_drive,1.0,8131,0.0670274259008732,0.5743893612277058,8.569467699343992,0.8836400709176974,0.07924041480950657,0.26351152872683686,0.09078838834032656,0.5635808748728383,0.8781041502952576,0.41100917431192663,0.9416161775588989,0.581651376146789,0.734553337097168,0.6862385321100918,0.48171892762184143,0.6408450704225352,0.23253333333333334,0.5225704031213224,0.6214025959585039,57
tcn,rf_mob_hist,1337,grouped_drive,2.0,8084,0.12481444829292429,0.51494241906625,4.125663543837033,0.8139381607931444,0.13312950352888592,0.4338880206211551,0.14024867537191332,0.4913880445795339,0.7847355008125305,0.23785926660059464,0.962265133857727,0.4192269573835481,0.84279465675354,0.5470763131813677,0.6771661639213562,0.462878093492209,0.24271553018924602,0.4699171021434947,0.5595367211354995,57
tcn,rf_mob_hist,1337,grouped_drive,3.0,8038,0.17491913411296342,0.514462699699126,2.9411459318503375,0.785155693675391,0.16462180874978113,0.5273627542439919,0.1565811822479269,0.5054945054945055,0.6335819959640503,0.16216216216216217,0.9663957357406616,0.3584637268847795,0.8753384351730347,0.4793741109530583,0.7484838366508484,0.48318462594371997,0.29496591504981645,0.4660085383196446,0.5671628840335708,57
tcn,rf_mob_hist,1337,grouped_drive,5.0,7941,0.2591613146958821,0.5551943121445339,2.1422730965693604,0.7591508665825185,0.19691728840282252,0.6083632210074247,0.15065424790136314,0.5458231954582319,0.481032133102417,0.0966958211856171,0.9750481247901917,0.29640427599611274,0.8936255574226379,0.4101068999028183,0.7961287498474121,0.5493860117458622,0.378533670420593,0.505200040530783,0.6082888647581688,57
transformer,rf_mob_hist,1337,grouped_drive,0.5,8131,0.036772844668552455,0.36731365374405345,9.988720129073238,0.882402313124101,0.0736941698381485,0.24285939071115284,0.09584777651848324,0.45230769230769236,0.8911080956459045,0.24414715719063546,0.9548918008804321,0.5953177257525084,0.7847701907157898,0.7190635451505016,0.47900059819221497,0.410958904109589,0.16494845360824742,0.31194111525263946,0.43229940006678214,57
transformer,rf_mob_hist,1337,grouped_drive,1.0,8131,0.0670274259008732,0.5669225556212907,8.458068439920577,0.8807223349627634,0.08961312241475929,0.3039125733486627,0.10942580328778288,0.5590062111801242,0.9309327602386475,0.4018348623853211,0.9581660032272339,0.6146788990825688,0.8326519727706909,0.7321100917431193,0.5598049759864807,0.6152125279642058,0.2702535559678417,0.5183017076004404,0.619774292175283,57
transformer,rf_mob_hist,1337,grouped_drive,2.0,8084,0.12481444829292429,0.4696187333298142,3.7625350250131,0.8004991122302108,0.15203226637678857,0.49948929975341144,0.1675903208208736,0.4894837476099427,0.8089528679847717,0.16253716551040634,0.9737846851348877,0.40832507433102083,0.892299473285675,0.5341922695738355,0.7642637491226196,0.4743709226467847,0.24352799518362434,0.4146121223174204,0.5300397668293165,57
transformer,rf_mob_hist,1337,grouped_drive,3.0,8038,0.17491913411296342,0.46267168526379676,2.6450604595664284,0.7715687721242925,0.1848769776362836,0.6040392937744611,0.17960901658925815,0.4874141876430206,0.6157333850860596,0.06756756756756757,0.9872869253158569,0.3236130867709815,0.9193978309631348,0.45803698435277385,0.8224931955337524,0.4637203166226913,0.2905387986594483,0.40014769266232275,0.5317158546912091,57
transformer,rf_mob_hist,1337,grouped_drive,5.0,7941,0.2591613146958821,0.5119873736625914,1.975554778549387,0.7466149520442936,0.2151940825185053,0.6761110188219802,0.17414203505713746,0.5343543046357616,0.5629386901855469,0.04227405247813411,0.9884998202323914,0.23858114674441205,0.9337701201438904,0.37900874635568516,0.8578333258628845,0.5212121212121212,0.38030442804428044,0.4505999045557834,0.5817714602286411,57
rule,rf_mob_hist,1337,random_row,0.5,1244,0.03858520900321544,0.06495975160301153,1.6835402290447152,0.601701853400223,0.16009129820490167,0.7737659414847202,0.1860075020766463,0.15286624203821655,0.9010629122378808,0.0,0.9999999955226855,0.0625,0.9859573663466564,0.2708333333333333,0.8447415262649675,0.07947019867549669,0.038678485092667206,0.03845315217333445,0.10900437097055772,57
